Names	total	elements
		BEST3
		RIPPLY2-CYB5R4
		CDK18
		CARHSP1
		KIFC3
		HERC1
		TGM1
		NPAS2
		INPPL1
		DIAPH3
		ARHGEF11
		LINC00163
		ZNF529-AS1
		SAP30L
		BRD9
		HNRNPH1
		FBXO21
		OGFRL1
		ODF2
		GRAMD1B
		RFWD3
		TRABD
		CPLANE1
		DLG2
		TMEM51
		IGF2BP2
		CRHR1
		CENPE
		ANAPC11
		PPARA
		COL11A2
		RINT1
		LOC124902699
		PUM2
		CD59
		SLC22A17
		RNA45SN5
		LINC02893
		LONRF3
		SLC44A3
		UBN1
		H2BP1
		HECTD1
		ERICH2
		FAM83B
		HDAC4
		PRSS12
		MAPKAPK5
		CTNNA1
		SDHAP4
		PCLAF
		CTNNBIP1
		KLF7
		PFKFB2
		GPR137C
		CEP290
		CNPY3
		ZNG1E
		LINC00513
		OARD1
		FOXO4
		NOD1
		CDK5RAP1
		RUFY1-AS1
		DMXL2
		TRIM4
		ZC3HC1
		TUT4
		CAPNS1
		IQCE
		CD99L2
		RPGRIP1L
		RREB1
		TBC1D30
		BRAT1
		GPAT4
		FAM66E
		ZNF268
		FARP2
		MGA
		CIC
		SIRT5
		ZFP36L1
		TSEN2
		TNPO3
		ADORA1
		MCM7
		CSGALNACT1
		PRC1
		ABCB9
		DCLRE1A
		ENTREP1
		MXRA7
		PABIR3
		ABCF1
		ZHX2
		PDP2
		CMPK1
		CCDC82
		ASIC2
		TMCO4
		XPO1
		NAT2
		FIP1L1
		TAGLN3
		LATS1
		LDAF1
		ZBTB21
		GBP1
		ZDHHC20
		CENPS-CORT
		RPL34
		MARK2
		LINC00491
		QTRT1
		GLUL
		CCDC17
		TCERG1
		TRAF4
		ANAPC16
		NR5A2
		LINC00869
		SPTB
		PURG
		SNX30
		LRRC4B
		BCKDHA
		ACVR1
		MTHFS
		GOLGA2
		JADE2
		NLGN1
		STRBP
		TTI1
		FANCI
		SH2D7
		NCOR1
		JARID2
		C14orf93
		SLC16A3
		APLP2
		SNRPN
		CCDC91
		COQ8A
		FAM184A
		ZNF319
		MAP3K12
		TGOLN2
		ZCCHC17
		TRIOBP
		MLST8
		MTHFD1L
		PRPF18
		KIAA1191
		GSDMB
		LIG1
		EXD3
		FAM185A
		NEUROG2-AS1
		RABEP1
		SLC45A4
		SMIM14
		FBXL17
		IFT88
		LARP1B
		RPL9
		EGLN2
		CHST12
		KANSL3
		TARDBP
		C21orf91
		STAU1
		ARHGAP5
		NKAPD1
		ZNF280B
		PLXNB2
		LAS1L
		CACNB2
		LINC02210
		TMEM144
		TOP6BL
		HIF1AN
		ZBED4
		TBC1D32
		CLCN3
		SERTM1
		LOC105374445
		PRRC2A
		MTCL1
		C2CD2
		C1orf35
		RAD17
		POLE
		SMTN
		MAT1A
		THUMPD2
		DPP8
		NAB1
		NMI
		PCCA
		RAB12
		GBF1
		ZC3H11A
		ZNF532
		ZNF185
		SLC39A8
		MYO7A
		PPFIBP2
		-
		IL4R
		CUL9
		STAT2
		RNF157-AS1
		ILVBL
		ZFAND5
		RNH1
		PPP6R3
		IFT81
		MIR202HG
		CDH23
		EXOG
		ANKRD13A
		CFAP77
		RNF121
		MBD3
		NBL1
		ATP6V0A1
		ZNF615
		SLC38A1
		MIS12
		PRKCQ
		CPOX
		ZNF431
		FAM227A
		TENT4A
		USP36
		CTNND1
		NONO
		ZNF567
		PATJ
		SEMA4F
		ACSL6
		NREP
		KIAA1328
		TBRG1
		LOC101928369
		ZMIZ2
		SYT17
		LOC124901359
		MAPK8IP3
		MYPOP
		HSD17B12
		OTULIN
		KLHL17
		DPY19L4
		HEMK1
		NMU
		CAMKK2
		BOC
		CSF2RA
		PON2
		TCP11L2
		SIK3
		TTC17
		RUFY3
		LMCD1
		MLXIPL
		MRPL42
		ABCC1
		SHLD2
		LOC124902217
		ZBTB44
		TMEM135
		CEP152
		WARS2
		CARF
		GNB1
		ELP2
		MORC2
		ALKBH8
		MBOAT7
		AIG1
		ANAPC15
		PRDM15
		ZNF689
		DUSP16
		SGCE
		LRRC27
		NAA25
		ZBTB3
		ARID4B
		RPN2
		ST3GAL5
		RIMS4
		ANO3
		BLTP2
		RABL2A
		LRRK1-AS1
		ZNF91
		CCDC92
		FBXO6
		CLTB
		ZNF324B
		SEPTIN10
		PLEKHA5
		MECR
		TSPAN17
		LOC101927510
		DPAGT1
		MTX2
		GEM
		RANBP2
		KDM3A
		ADAM15
		NF2
		TTK
		ZNF557
		GBA1
		PGS1
		MTMR3
		AP4E1
		VSIG10
		FKBP11
		DLEU1
		ITPRIP
		ZNF133
		FLII
		SLC4A4
		ESR2
		SH2D5
		CEBPZOS
		AKT3
		RNF139-DT
		FAM111A-DT
		POC1B
		FBXL13
		ARHGAP22
		ZNF776
		SLC17A5
		EVL
		ZNF678
		ARHGAP27
		HIF1A-AS1
		MBOAT2
		ARHGAP11B
		MBD1
		ACSL4
		HSPA12A
		REPIN1
		PDE4A
		ARFGAP1
		SNHG29
		CMTM7
		CACNA1G
		C1QTNF1
		GPR108
		RHBDD1
		CEP20
		USP3
		CPSF2
		FLRT1
		DCLRE1C
		LOC105370504
		SPART
		TMEM63A
		N4BP3
		ARL6
		ANKZF1
		HMGB1
		L3MBTL1
		EXOC6
		XRCC2
M2	236	FSTL1
		KCNMA1
		GNL3
		NDUFS6
		KLHL13
		GCSH
		DDT
		CUBN
		SUSD5
		ID3
		PAIP1
		ANKRD13B
		UBE2E3
		PTPRZ1
		TGM2
		GLT8D2
		PALLD
		SQSTM1
		ATRIP-TREX1
		AARS1
		SEL1L3
		MPP7
		KATNB1
		MYH16
		GTF2IP4
		MYO6
		ST8SIA4
		BOP1
		SEMA3A
		THAP12
		GAS2L1
		TMEM255A
		BCHE
		ADI1
		SLC2A3
		MAP3K14
		PXDN
		PAG1
		LTBP1
		PCDH18
		GTPBP3
		ARL4C
		ADGRL2
		LOC112694756
		NEAT1
		RRP9
		PRKCD
		DSC2
		ANTXR2
		AHCY
		THSD1
		FHL1
		FTL
		KLF6
		LOC102724594
		SERINC2
		ZFHX4
		GSN
		R3HDM2
		CPVL
		YPEL5
		MIR100HG
		SGK1
		ADRA1B
		SMIM7
		SAMD9L
		ABCE1
		KRT8
		HR
		LIN7A
		SPHK1
		CCDC86
		ROBO1
		SPDL1
		GNS
		NPR3
		CPM
		MEGF8
		ITGA6
		PYCR1
		LINC01000
		HSPA1A
		BCS1L
		CALB2
		IGFN1
		HHIPL2
		MXRA5
		RND3
		PNRC1
		PDE4D
		USP53
		DOK6
		PROS1
		DKC1
		TUBB3
		MME
		TFRC
		BIRC2
		GLCE
		S100A16
		LINC01123
		MTUS1
		RNF138
		EXOSC8
		ATF4
		MOSMO
		PRNP
		LMTK2
		GAR1
		BANF1
		PARP8
		TEAD4
		CACNA2D2
		LYPD6
		ACSS2
		ADGRG1
		SLC7A2
		JAG2
		PTPRK
		SHC2
		PTMA
		WDTC1
		HMOX1
		MUC19
		CGNL1
		TMEM158
		CARM1
		TNC
		CBFB
		PDE2A
		DSC3
		DAB2
		MARCKS
		LMNB1
		CRABP2
		SASH1
		PLCH1
		PSAP
		ACY1
		AFAP1L2
		IGF2
		DKK3
		LRP1
		RFT1
		DERPC
		SCG2
		NBEA
		LOC124903209
		SRPX2
		IGFBP6
		CACNA1A
		PSAT1
		ITPA
		DCTPP1
		CNTN1
		C1QTNF6
		DTYMK
		HTATIP2
		MDK
		KLF5
		AKAP9
		MICAL2
		THBS1
		H4C15
		CCDC9B
		CRIP2
		CHRFAM7A
		NT5DC2
		THBS2
		SLC3A2
		ASNS
		HSPE1
		PPM1L
		NID2
		TNFRSF10B
		KRT18
		KCMF1
		BEX1
		BZW2
		PDE10A
		TOX2
		FGD5
		LINC00707
		DKK1
		MAPRE2
		POLR2A
		ODC1
		PRMT3
		ARHGEF1
		PKIA
		CMBL
		KIF13B
		GABRB3
		SERPINE1
		CLIP3
		PTGFRN
		MEG3
		HSPA1B
		NPM3
		PARP3
		RPP25
		ZNF462
		EBNA1BP2
		STAC
		CDCP1
		MALAT1
		CAV2
		SLFN5
		TIMP2
		PREX1
		EEF1AKMT2
		HMGCS1
		SAMD9
		GKAP1
		SYNPO
		YARS1
		MEX3C
		PARP9
		ATIC
		PSMB10
		UGT8
		KCNN4
		CSAG3
		MAP2K3
		BHLHE41
		MRPS18B
		AMIGO2
		VAV3
		CPNE7
		COL12A1
		TCEAL1
		ABLIM1
		H1-2
		FBLN5
		BIRC3
		CTSC
